Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
100	-15812.4	-15825.4	12.9431	0.13841	0.106497	0.115721	0.0807568	0.106402	0.096027	0.131395	0.0638665	0.0982731	0.168248	0.0745614	0.0809761	0.101213	0.0926817	0.1238	0.114652	0.132606	0.11708	0.110012	0.0822038	0.0800417	0.0532554	0.152608	0.0255379	0.0395537	0.0355013	0.06274	0.046505	0.0374053	0.0176953	0.0455618	0.0362137	0.0228753	0.0729349	0.0268471	0.0654669	0.0436767	0.0345542	0.0211899	0.0444364	0.0452185	0.0236951	0.0256982	3.194593
110	-15806.1	-15819.7	13.6198	0.135624	0.0992712	0.0776734	0.0883106	0.112198	0.0782087	0.106429	0.0929163	0.101584	0.178115	0.0721374	0.0793922	0.116816	0.0839339	0.111944	0.0985235	0.131332	0.121234	0.116855	0.0675681	0.0968359	0.0798285	0.166494	0.0177333	0.0213115	0.0229174	0.0510161	0.0256823	0.0267905	0.0227533	0.0560912	0.0333312	0.0246268	0.0589883	0.0329444	0.0842995	0.0196488	0.0402049	0.0228773	0.0493649	0.0340244	0.0258303	0.0432688	3.126929
120	-15808	-15820.9	12.9403	0.134722	0.104342	0.0920962	0.0888693	0.134077	0.0834371	0.136091	0.0767519	0.103367	0.150778	0.077667	0.0824103	0.088761	0.0756738	0.114373	0.109297	0.136133	0.111899	0.0999019	0.0776092	0.0979775	0.0741017	0.17854	0.0315137	0.019822	0.0244953	0.0553538	0.0438142	0.00902661	0.0351639	0.0483873	0.0455362	0.032312	0.0405148	0.0181889	0.102918	0.0328778	0.0420866	0.0276471	0.0369607	0.052173	0.0324554	0.0347562	3.194878
130	-15808.3	-15821.6	13.2512	0.119609	0.100998	0.107064	0.113729	0.112564	0.0860366	0.136091	0.076077	0.107031	0.152588	0.0826308	0.0924641	0.08292	0.101183	0.131594	0.109082	0.137944	0.100378	0.0921339	0.0811492	0.0784291	0.091899	0.15308	0.0245534	0.0132448	0.0260776	0.0466011	0.0358555	0.0119515	0.0299687	0.0503031	0.042367	0.041321	0.0570283	0.0367262	0.0813785	0.0305273	0.029618	0.0267513	0.0339032	0.0285976	0.0285723	0.0417674	3.163788
140	-15817.3	-15830.8	13.4256	0.154548	0.0796158	0.103952	0.0903567	0.119593	0.0843102	0.105226	0.0837643	0.0895302	0.14515	0.0823932	0.0595926	0.0785081	0.101183	0.0952403	0.10997	0.146049	0.121199	0.111786	0.0777582	0.0940911	0.0745349	0.142075	0.0279536	0.025292	0.0360787	0.0449452	0.0242791	0.0319201	0.019531	0.0755823	0.0518834	0.0365527	0.0806762	0.0298743	0.0887798	0.0397285	0.0399139	0.0191759	0.0285397	0.0505986	0.0260649	0.0185544	3.146352
150	-15812.3	-15825.4	13.1745	0.132836	0.103872	0.0870084	0.0825534	0.105333	0.091577	0.133812	0.0939301	0.0973159	0.134705	0.0873559	0.0916237	0.0815823	0.104917	0.10147	0.128339	0.136337	0.147652	0.116876	0.0700564	0.0806198	0.0765814	0.16749	0.0209446	0.0400289	0.0260649	0.0398304	0.0228812	0.0227431	0.0226407	0.0540395	0.0527201	0.0347847	0.0378352	0.0322902	0.0936367	0.0268257	0.0437558	0.0255575	0.0351518	0.0418904	0.0193719	0.0246212	3.171457
160	-15801.9	-15814.8	12.9245	0.146481	0.0881731	0.104576	0.0667304	0.108894	0.0809655	0.107013	0.0858158	0.107919	0.164431	0.0840806	0.0870879	0.106332	0.0878483	0.100744	0.128339	0.122764	0.108194	0.112956	0.0705703	0.108897	0.0981386	0.18068	0.0259889	0.024289	0.0337143	0.050884	0.0463434	0.0195836	0.0318639	0.0486792	0.0443092	0.0231664	0.0349318	0.022082	0.0945082	0.0292542	0.0315413	0.0189645	0.048598	0.0445714	0.0261824	0.0393721	3.196457
170	-15801.2	-15814.7	13.4312	0.154174	0.0959423	0.0887103	0.106245	0.104377	0.0808319	0.100929	0.0674703	0.104217	0.163091	0.0792026	0.0677902	0.0843271	0.0914482	0.113348	0.112633	0.138035	0.130163	0.140697	0.0825407	0.0892872	0.0769867	0.166392	0.0273609	0.027506	0.0280506	0.0474757	0.0405402	0.0247521	0.0169027	0.0451287	0.0387396	0.029699	0.0501654	0.0301293	0.0828386	0.0244589	0.0403508	0.0240476	0.0340194	0.0341091	0.0329072	0.0277666	3.145788
180	-15815.3	-15828.1	12.7573	0.16044	0.079243	0.0917858	0.0882866	0.0997372	0.0870239	0.121001	0.090115	0.106481	0.184553	0.0857907	0.0785148	0.0813842	0.0950091	0.106535	0.1396	0.144228	0.102411	0.125783	0.0756001	0.0787155	0.0700496	0.148632	0.0307066	0.0317041	0.0373697	0.0475287	0.0251261	0.0118838	0.0429243	0.0499725	0.0314872	0.0350109	0.0495272	0.0265002	0.0728156	0.0268557	0.0305111	0.0296787	0.0663667	0.0556588	0.0340464	0.0365851	3.213179
190	-15813.3	-15824.8	11.4988	0.127733	0.0967426	0.107605	0.0967171	0.130166	0.0933554	0.0961785	0.0864859	0.0874018	0.148949	0.0927112	0.0829512	0.10206	0.104738	0.103816	0.1396	0.147925	0.134233	0.150869	0.0908795	0.0980959	0.0956279	0.194724	0.0300908	0.0329209	0.0316703	0.0712111	0.0294583	0.00957803	0.0173912	0.0367855	0.0502327	0.0289716	0.0431534	0.0301998	0.097728	0.0136729	0.0367179	0.0348411	0.044502	0.0371027	0.0165908	0.0366429	3.339028
200	-15813.5	-15826	12.5285	0.127428	0.0873953	0.107605	0.0832223	0.123695	0.074384	0.153517	0.0749428	0.107353	0.14611	0.0763384	0.0829512	0.108454	0.0883375	0.103816	0.107194	0.147422	0.1106	0.13855	0.0512699	0.0915547	0.0969987	0.174817	0.0165431	0.040436	0.037293	0.0490956	0.0517244	0.0179856	0.0296913	0.035733	0.0457509	0.0364856	0.0606693	0.0169788	0.0865785	0.021825	0.0388666	0.0266045	0.0436978	0.0481722	0.0343261	0.0336492	3.236061
210	-15805	-15816.6	11.6489	0.141714	0.101802	0.0938925	0.0907876	0.117536	0.0784686	0.132664	0.0777738	0.0909615	0.184436	0.0978482	0.0755819	0.123004	0.114968	0.107967	0.153213	0.123923	0.124456	0.122069	0.0893372	0.0789647	0.0920629	0.167186	0.0351232	0.0293972	0.0207426	0.0494771	0.0356723	0.0108895	0.0316714	0.0500364	0.0415678	0.0394274	0.0391122	0.0339818	0.0988097	0.0198026	0.0342616	0.0406403	0.0257452	0.0546889	0.0257545	0.0265983	3.324014
220	-15806	-15818.8	12.8118	0.116796	0.0922556	0.100011	0.107896	0.113759	0.0658049	0.107241	0.0845426	0.097218	0.167036	0.0914579	0.0921878	0.1004	0.100149	0.126147	0.115491	0.126318	0.102242	0.135629	0.056659	0.0966492	0.0678696	0.186363	0.0167595	0.0356337	0.0279749	0.039271	0.0484085	0.018035	0.0266647	0.0624704	0.0402393	0.0367273	0.0428846	0.0308112	0.0970203	0.0120721	0.041489	0.0252943	0.032499	0.0649655	0.0217885	0.0365928	3.207724
230	-15804.4	-15817.1	12.7359	0.137552	0.0847253	0.0974616	0.105611	0.108022	0.0885086	0.128507	0.0858999	0.0843027	0.159711	0.0978999	0.0849258	0.106367	0.0967373	0.0945931	0.120135	0.126995	0.102419	0.132769	0.0671854	0.0919847	0.0863058	0.146569	0.0319458	0.0312315	0.0285751	0.0464976	0.0612142	0.0223678	0.0213595	0.0742829	0.0535395	0.0291223	0.0428846	0.039327	0.0894156	0.0146511	0.0365727	0.0187594	0.039813	0.0358393	0.0319151	0.030818	3.215319
240	-15801.3	-15813.7	12.4052	0.138217	0.0928634	0.0985143	0.0907038	0.122852	0.0834204	0.127768	0.0915365	0.105361	0.198233	0.0744734	0.0671475	0.0931051	0.114568	0.106181	0.129285	0.117083	0.112844	0.122493	0.0800607	0.0952672	0.0743031	0.166774	0.0383656	0.0354865	0.0265954	0.044529	0.0420432	0.0209042	0.023803	0.056439	0.0553885	0.0186769	0.0421317	0.0310967	0.0878529	0.0134162	0.0357651	0.017157	0.0396352	0.0390993	0.0432921	0.0336607	3.248393
250	-15807.4	-15820	12.5588	0.154188	0.113804	0.0880438	0.0843377	0.127173	0.0846089	0.0938441	0.0871285	0.0906642	0.158438	0.0677917	0.0820561	0.0833904	0.0914076	0.113185	0.136339	0.113018	0.123931	0.1201	0.0824467	0.0950688	0.0875801	0.204852	0.0167292	0.0343399	0.0279122	0.0478611	0.0432408	0.02578	0.0160893	0.0626307	0.0456531	0.0220525	0.0348979	0.0433683	0.0987322	0.0211531	0.0513522	0.0257454	0.041642	0.039891	0.0257735	0.0247871	3.233028
260	-15799.3	-15811.5	12.2158	0.132195	0.100391	0.11453	0.090917	0.0972458	0.0825567	0.12568	0.0883332	0.0971501	0.174186	0.0649445	0.0846543	0.104051	0.107643	0.101809	0.136922	0.138775	0.123931	0.120573	0.0805104	0.0950688	0.0866292	0.205224	0.0296958	0.026834	0.0206603	0.0590357	0.0432248	0.0199285	0.0246977	0.0516974	0.0417025	0.033819	0.0393784	0.0164494	0.0849167	0.016453	0.041855	0.0281148	0.0360272	0.0430671	0.0175218	0.0383269	3.267327
270	-15808.9	-15821.2	12.3365	0.132008	0.098076	0.102815	0.121678	0.0923885	0.0900941	0.128137	0.0876705	0.115931	0.154537	0.0823603	0.088936	0.125969	0.113304	0.124201	0.111372	0.135999	0.123363	0.11465	0.0820661	0.0973534	0.0730094	0.159183	0.0211303	0.0171176	0.0376702	0.0328081	0.0400211	0.0160432	0.0119748	0.0430538	0.049436	0.0372354	0.0532617	0.0271087	0.105025	0.0225372	0.034435	0.0303775	0.0298033	0.039085	0.0231284	0.0289028	3.255255
280	-15803.6	-15817.6	13.9744	0.132413	0.0887109	0.0991323	0.0889282	0.106627	0.063804	0.0980004	0.0641915	0.0867722	0.157429	0.0747661	0.091073	0.101945	0.0931282	0.111121	0.132846	0.115808	0.126417	0.109514	0.0681556	0.0937209	0.0895056	0.160114	0.0349164	0.0289399	0.0365566	0.0586553	0.0314227	0.00786919	0.0344599	0.0542976	0.0592901	0.0202677	0.0500559	0.0316914	0.0832825	0.0228463	0.0381985	0.0212452	0.0259556	0.0366856	0.0296165	0.0310946	3.09147
290	-15802	-15816	14.013	0.123384	0.0816987	0.0932134	0.10449	0.116152	0.0858788	0.127728	0.0876174	0.0867722	0.150254	0.0747661	0.0853522	0.100335	0.0931305	0.115884	0.112107	0.142433	0.112311	0.11096	0.0655676	0.0823049	0.0745387	0.165468	0.0157468	0.0240057	0.0292144	0.0520373	0.0427555	0.0169468	0.0214103	0.0402292	0.0421396	0.0185287	0.0501377	0.0346741	0.110061	0.010831	0.0383012	0.0238401	0.0347822	0.0366544	0.026262	0.0267064	3.087609
