Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-20449.3	-20451.2	1.90486	0.0324363	0.0581713	0.110596	0.189941	0.103771	0.130962	0.153196	0.0249577	0.00896385	0.146459	0.296484	0.618035	0.0527013	0.0842388	0.31551	0.000933961	0.00174823	0.0120045	0.182328	0.0501312	0.0546238	0.107715	0.0610918	0.00838577	0.0953093	0.069434	0.00959433	0.0116826	0.0386046	0.0109517	0.0498158	0.0246277	0.325617	0.145886	0.110839	0.0751988	0.15116	0.00338814	0.19311	0.00950762	0.0499903	0.113779	0.00454278	4.298422
10	-16834.3	-16844.1	9.87565	0.0542051	0.0938438	0.101899	0.137861	0.107314	0.0766916	0.190995	0.03601	0.017532	0.163275	0.1201	0.184767	0.10742	0.144529	0.133561	0.00161657	0.0182194	0.031489	0.348668	0.139459	0.0832184	0.0918163	0.25741	0.0172868	0.0435189	0.046452	0.0125279	0.0250639	0.0489555	0.0346256	0.0491909	0.0303342	0.096069	0.0377728	0.131617	0.0438096	0.0398411	0.0284982	0.0620985	0.0333541	0.0451037	0.0280816	0.00524192	3.501343
20	-16294.9	-16307.2	12.2387	0.0733657	0.0988359	0.0917017	0.0814163	0.104074	0.0824391	0.1174	0.0701504	0.0253214	0.173148	0.0992781	0.0682657	0.108572	0.111439	0.0991258	0.00830915	0.0811646	0.10696	0.297299	0.106319	0.0763214	0.0918163	0.2432	0.0256616	0.0334363	0.0482988	0.020015	0.0334589	0.0248452	0.0353735	0.032453	0.0392945	0.066459	0.0339549	0.121885	0.0512689	0.0333033	0.0652543	0.0254087	0.0779744	0.0469282	0.0286487	0.00519055	3.265035
30	-15894.9	-15906.8	11.9388	0.112183	0.0959336	0.097024	0.108855	0.107103	0.0668019	0.128088	0.084679	0.0794734	0.157179	0.0691219	0.102705	0.0848758	0.0845752	0.101696	0.0318256	0.12268	0.110227	0.238367	0.104945	0.0965073	0.0899975	0.233455	0.0301661	0.0355234	0.0370425	0.0185184	0.0184829	0.0196001	0.0341822	0.0303026	0.0674197	0.0194265	0.040339	0.0828311	0.0600254	0.0425945	0.051631	0.0635052	0.0297479	0.0457914	0.040411	0.0191881	3.295028
40	-15803.7	-15816.6	12.8907	0.14901	0.101663	0.109945	0.0911345	0.115038	0.0753902	0.139743	0.0871309	0.0922716	0.157179	0.0818912	0.0881079	0.0999162	0.10444	0.115158	0.10163	0.12268	0.1162	0.115772	0.0908455	0.0808663	0.0949177	0.175838	0.0354921	0.0274522	0.0270969	0.0140145	0.0372983	0.0245151	0.0374772	0.0251294	0.0711766	0.0432803	0.0354777	0.0348639	0.040428	0.0204499	0.0417055	0.0602683	0.0311289	0.0439114	0.0251477	0.0167559	3.19984
50	-15809.7	-15820.8	11.0576	0.145388	0.0958937	0.115618	0.0967923	0.150173	0.072262	0.141323	0.0750183	0.115972	0.167623	0.0865362	0.0751583	0.0960769	0.10444	0.102522	0.128102	0.120583	0.129398	0.125098	0.0901786	0.0960359	0.0943475	0.174058	0.0329827	0.032359	0.0530323	0.0197066	0.0315952	0.02668	0.0327635	0.0226045	0.0684347	0.0471984	0.0350274	0.0353277	0.0493716	0.0363801	0.049866	0.0703279	0.04286	0.0457013	0.0247261	0.0276102	3.383152
60	-15814.7	-15826.3	11.6164	0.153936	0.0958937	0.105585	0.112191	0.11673	0.0863559	0.13222	0.0926995	0.0903531	0.164222	0.107401	0.105924	0.0905567	0.0818255	0.114254	0.105841	0.129045	0.131567	0.102828	0.0821755	0.100494	0.0832917	0.15755	0.0384754	0.039655	0.0301626	0.0120939	0.0335817	0.0412457	0.020257	0.0210461	0.0833993	0.0471494	0.0474403	0.0245937	0.0582068	0.0235619	0.0609957	0.0702301	0.0378818	0.0504796	0.0302983	0.0135794	3.327272
70	-15803.6	-15816.4	12.782	0.127631	0.103827	0.0957186	0.103128	0.120696	0.0918259	0.145913	0.089864	0.0925096	0.178388	0.0808308	0.0754078	0.112688	0.0868159	0.102064	0.109706	0.122722	0.0983584	0.127438	0.0791682	0.0829399	0.0816719	0.159878	0.0259768	0.0300929	0.0654984	0.0238787	0.0254951	0.0241774	0.0334662	0.0271896	0.0832103	0.037922	0.0421129	0.0490054	0.0688998	0.0246027	0.0371804	0.0477805	0.029964	0.0336818	0.0158853	0.0154984	3.21071
80	-15806.9	-15819.8	12.871	0.136919	0.11468	0.0887563	0.092413	0.129495	0.0625092	0.135498	0.0763047	0.0923375	0.175004	0.0636812	0.0827684	0.0969551	0.0865787	0.114415	0.107292	0.129468	0.110754	0.145151	0.0810286	0.0829077	0.0816719	0.153477	0.0312412	0.0322463	0.0597274	0.023092	0.023335	0.0216983	0.0295337	0.0345532	0.069906	0.0393725	0.0432809	0.0490054	0.0621492	0.0336265	0.0428016	0.0559166	0.0231563	0.0490983	0.0164061	0.0215978	3.201808
90	-15799.7	-15812.4	12.6465	0.1229	0.111702	0.103929	0.106123	0.129539	0.071108	0.119332	0.083918	0.111207	0.1875	0.0969085	0.0855267	0.0969551	0.103389	0.0945059	0.107292	0.122317	0.113626	0.115704	0.0730798	0.0831818	0.0915742	0.13632	0.0321612	0.0188623	0.0416921	0.0263127	0.0187411	0.0353818	0.03668	0.0333929	0.0833219	0.0369945	0.0341114	0.0381868	0.0622757	0.0283068	0.0554032	0.0546564	0.0329441	0.0491095	0.0300343	0.00805461	3.224263
