Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
10	0	-15806.6	-15818.9	12.3311	0.134083	0.0879556	0.0953388	0.0925045	0.11243	0.0773785	0.135151	0.0771345	0.108335	0.207015	0.0763557	0.0829499	0.114073	0.09132	0.107875	0.105395	0.130467	0.113371	0.114237	0.0685178	0.0869505	0.0869347	0.15381	0.0356106	0.0388767	0.0314434	0.041896	0.0323169	0.017932	0.0234246	0.0386613	0.0346835	0.0298939	0.0626311	0.0428485	0.109187	0.0412575	0.043383	0.0250671	0.039462	0.0488051	0.0295091	0.029327	3.2558
11	1	-15809.7	-15820.8	11.0576	0.145388	0.0958937	0.115618	0.0967923	0.150173	0.072262	0.141323	0.0750183	0.115972	0.167623	0.0865362	0.0751583	0.0960769	0.10444	0.102522	0.128102	0.120583	0.129398	0.125098	0.0901786	0.0960359	0.0943475	0.174058	0.0329827	0.032359	0.0530323	0.0197066	0.0315952	0.02668	0.0327635	0.0226045	0.0684347	0.0471984	0.0350274	0.0353277	0.0493716	0.0363801	0.049866	0.0703279	0.04286	0.0457013	0.0247261	0.0276102	3.383152
12	0	-15806.5	-15819.7	13.2333	0.121826	0.102482	0.104485	0.110142	0.105671	0.0925213	0.10334	0.0825722	0.0936561	0.146729	0.067123	0.0886797	0.0891118	0.107049	0.11121	0.117686	0.118173	0.104132	0.122986	0.0735781	0.0899695	0.0959125	0.171549	0.0164775	0.031212	0.021986	0.0536576	0.0362947	0.0202028	0.0128239	0.0511575	0.0554309	0.0187744	0.0639218	0.0368795	0.0655616	0.0416809	0.0459773	0.020449	0.0391872	0.0552172	0.029505	0.028602	3.165582
13	1	-15814.7	-15826.3	11.6164	0.153936	0.0958937	0.105585	0.112191	0.11673	0.0863559	0.13222	0.0926995	0.0903531	0.164222	0.107401	0.105924	0.0905567	0.0818255	0.114254	0.105841	0.129045	0.131567	0.102828	0.0821755	0.100494	0.0832917	0.15755	0.0384754	0.039655	0.0301626	0.0120939	0.0335817	0.0412457	0.020257	0.0210461	0.0833993	0.0471494	0.0474403	0.0245937	0.0582068	0.0235619	0.0609957	0.0702301	0.0378818	0.0504796	0.0302983	0.0135794	3.327272
14	0	-15808.5	-15821.4	12.8709	0.124479	0.0822242	0.0920405	0.0841765	0.121658	0.0745961	0.1324	0.0875683	0.0956278	0.177234	0.0715011	0.0928466	0.0792613	0.0915014	0.0998107	0.108727	0.133552	0.122176	0.121891	0.076552	0.0942377	0.073018	0.182553	0.0333334	0.042417	0.0216791	0.0439728	0.0406523	0.0111427	0.0191275	0.0506027	0.0516229	0.0392134	0.0569824	0.0490871	0.0874676	0.0373513	0.0535026	0.0281359	0.0378209	0.0427955	0.0178403	0.0174337	3.201813
15	1	-15803.6	-15816.4	12.782	0.127631	0.103827	0.0957186	0.103128	0.120696	0.0918259	0.145913	0.089864	0.0925096	0.178388	0.0808308	0.0754078	0.112688	0.0868159	0.102064	0.109706	0.122722	0.0983584	0.127438	0.0791682	0.0829399	0.0816719	0.159878	0.0259768	0.0300929	0.0654984	0.0238787	0.0254951	0.0241774	0.0334662	0.0271896	0.0832103	0.037922	0.0421129	0.0490054	0.0688998	0.0246027	0.0371804	0.0477805	0.029964	0.0336818	0.0158853	0.0154984	3.21071
16	0	-15804.1	-15816.5	12.4244	0.154662	0.0760007	0.0851136	0.092822	0.106456	0.0875922	0.124113	0.0948593	0.109096	0.170845	0.0863432	0.0834744	0.111711	0.109416	0.108204	0.116263	0.127222	0.106836	0.132676	0.0825663	0.0982371	0.0865876	0.176831	0.0247899	0.0283558	0.0257658	0.040955	0.0374545	0.0170666	0.0112482	0.0546304	0.0472682	0.022694	0.0658254	0.0214644	0.0909169	0.0411396	0.0421252	0.0159037	0.0334241	0.0354203	0.0404316	0.0216624	3.246469
17	1	-15806.9	-15819.8	12.871	0.136919	0.11468	0.0887563	0.092413	0.129495	0.0625092	0.135498	0.0763047	0.0923375	0.175004	0.0636812	0.0827684	0.0969551	0.0865787	0.114415	0.107292	0.129468	0.110754	0.145151	0.0810286	0.0829077	0.0816719	0.153477	0.0312412	0.0322463	0.0597274	0.023092	0.023335	0.0216983	0.0295337	0.0345532	0.069906	0.0393725	0.0432809	0.0490054	0.0621492	0.0336265	0.0428016	0.0559166	0.0231563	0.0490983	0.0164061	0.0215978	3.201808
18	0	-15804.7	-15817.1	12.3974	0.137132	0.125599	0.0995089	0.0962167	0.122838	0.0771344	0.133964	0.0833565	0.114076	0.138351	0.0879211	0.0753995	0.101897	0.0944173	0.0999754	0.116221	0.134438	0.106444	0.11786	0.0775841	0.11073	0.0808014	0.185896	0.0191743	0.0206665	0.0221907	0.0436038	0.0470642	0.0279574	0.00716866	0.0541817	0.0480863	0.0215989	0.0565421	0.0332645	0.087898	0.0278362	0.0381907	0.0242289	0.0406799	0.0367305	0.0444669	0.0298727	3.249165
19	1	-15799.7	-15812.4	12.6465	0.1229	0.111702	0.103929	0.106123	0.129539	0.071108	0.119332	0.083918	0.111207	0.1875	0.0969085	0.0855267	0.0969551	0.103389	0.0945059	0.107292	0.122317	0.113626	0.115704	0.0730798	0.0831818	0.0915742	0.13632	0.0321612	0.0188623	0.0416921	0.0263127	0.0187411	0.0353818	0.03668	0.0333929	0.0833219	0.0369945	0.0341114	0.0381868	0.0622757	0.0283068	0.0554032	0.0546564	0.0329441	0.0491095	0.0300343	0.00805461	3.224263
