Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
417	1	-15810.3	-15822.5	12.2672	0.137077	0.0932129	0.118457	0.0983105	0.123167	0.0943158	0.1281	0.068885	0.0804854	0.188737	0.060621	0.0991235	0.0871973	0.0891676	0.117984	0.117498	0.125044	0.127604	0.140704	0.0723082	0.109299	0.0828438	0.150801	0.0425791	0.040941	0.0618205	0.0362244	0.0450022	0.0170761	0.0240345	0.0368649	0.0735273	0.0243967	0.0334801	0.0361461	0.0493315	0.0248307	0.0418215	0.061661	0.0266316	0.0384227	0.0211089	0.015346	3.26219
418	0	-15810.5	-15822	11.4803	0.137273	0.0953516	0.101309	0.10863	0.127674	0.0834384	0.138249	0.0768721	0.110779	0.162243	0.0714689	0.0806095	0.0931351	0.098496	0.125495	0.104113	0.113748	0.10101	0.137334	0.090216	0.111253	0.0927797	0.204899	0.0389786	0.0288404	0.0333988	0.0695334	0.0271943	0.0261634	0.0195342	0.046262	0.0421635	0.0305202	0.0508908	0.027399	0.0878834	0.0220412	0.0542076	0.0239297	0.0485222	0.0527833	0.0238036	0.0204544	3.340879
419	1	-15806.3	-15818.5	12.1431	0.130127	0.0946157	0.11	0.103513	0.109577	0.0832642	0.131357	0.0987658	0.105182	0.160099	0.0782424	0.121891	0.100259	0.0967491	0.108019	0.136517	0.149894	0.116369	0.125891	0.0799787	0.0920141	0.0763272	0.179864	0.0285799	0.0265578	0.0556718	0.031776	0.0254424	0.0226318	0.03257	0.0184987	0.0642645	0.0418038	0.0380686	0.0381603	0.0509852	0.0268974	0.0360618	0.0618982	0.00929034	0.038075	0.0212576	0.0175869	3.274593
420	0	-15817.5	-15830	12.5565	0.154153	0.115815	0.0901309	0.0963486	0.114125	0.106488	0.102912	0.0830288	0.0895146	0.137589	0.0847853	0.0787374	0.0874153	0.0833307	0.117773	0.122308	0.158779	0.14078	0.104925	0.0776292	0.0770394	0.0900519	0.174388	0.0221292	0.0153702	0.0391244	0.0472918	0.0315338	0.00596947	0.0285737	0.069596	0.0442474	0.0319061	0.0483955	0.0264889	0.0906305	0.0213516	0.0342407	0.0400792	0.0407534	0.0349605	0.0341832	0.0383832	3.233256
421	1	-15801.6	-15814.6	13.0486	0.119857	0.117659	0.115121	0.0985477	0.103543	0.0797209	0.122208	0.0815141	0.105182	0.156098	0.0667594	0.0817996	0.113401	0.0874799	0.101911	0.132929	0.148747	0.112151	0.107066	0.0857422	0.0760193	0.0945636	0.1533	0.0251056	0.0263629	0.0556917	0.0372569	0.018389	0.0260923	0.0306254	0.0314703	0.094289	0.0327846	0.0260292	0.0331762	0.037219	0.0192381	0.0623276	0.0488701	0.022115	0.0459055	0.030871	0.0189109	3.184051
422	0	-15815.3	-15827.7	12.4321	0.134173	0.126962	0.0997621	0.0896924	0.105213	0.095443	0.106369	0.0837069	0.130855	0.15503	0.0761982	0.0985785	0.109926	0.0917947	0.116421	0.122308	0.116018	0.108748	0.122419	0.0933046	0.0838939	0.104081	0.170091	0.0392175	0.0260492	0.026287	0.0532307	0.0424973	0.0313008	0.0281505	0.0681322	0.0534536	0.0265916	0.0385894	0.0182048	0.0814571	0.0186523	0.0263366	0.0274173	0.0345581	0.0213852	0.0189825	0.0242163	3.2457
423	1	-15808.6	-15820.4	11.7941	0.11054	0.101556	0.0939387	0.111376	0.137436	0.0797216	0.146126	0.0781736	0.121287	0.184831	0.0721618	0.0750709	0.0851698	0.105425	0.11861	0.123595	0.13305	0.115941	0.136452	0.0860039	0.0894446	0.101888	0.164983	0.033535	0.0425259	0.0297239	0.0385407	0.0267518	0.0413636	0.0306254	0.0255192	0.0869232	0.0475298	0.0438536	0.0298465	0.0391608	0.0288136	0.0290002	0.0660379	0.00869849	0.0399735	0.0263011	0.0219887	3.309494
424	0	-15810.7	-15823.8	13.114	0.153854	0.102761	0.0990421	0.0981373	0.0891874	0.0852531	0.13684	0.0887038	0.0867272	0.138018	0.0720537	0.0985785	0.100162	0.0909043	0.0946507	0.11527	0.136955	0.105935	0.1092	0.073447	0.098416	0.0879451	0.170366	0.0201802	0.0203145	0.0140829	0.0645759	0.0286235	0.0253917	0.00802377	0.050793	0.0588896	0.02921	0.0501021	0.036528	0.103851	0.017468	0.0507287	0.0326394	0.0443943	0.0366015	0.0164497	0.0362501	3.177505
425	1	-15810.1	-15822.5	12.4081	0.116009	0.114512	0.0849595	0.108849	0.0782812	0.0897847	0.133187	0.0745415	0.0878636	0.163295	0.0628179	0.0960901	0.10562	0.108871	0.102959	0.128231	0.150701	0.111008	0.142457	0.0768196	0.104194	0.0813938	0.153952	0.033535	0.0404633	0.0661499	0.0227853	0.0155291	0.0146919	0.0346569	0.028364	0.0926146	0.0477102	0.0241133	0.0409474	0.0380781	0.0304667	0.0589841	0.0660379	0.0252104	0.0463011	0.0224261	0.0226381	3.248101
426	0	-15801.3	-15814.8	13.4658	0.138117	0.103256	0.0949	0.0897891	0.0917301	0.0658015	0.121737	0.073338	0.0927186	0.157611	0.0639365	0.0842412	0.0928679	0.0901172	0.121788	0.12294	0.131258	0.122358	0.108294	0.084063	0.0889815	0.0716145	0.193734	0.0367763	0.024268	0.0338189	0.0640723	0.0315732	0.0210433	0.0147256	0.0669935	0.0478702	0.0224741	0.0608242	0.0196971	0.0822612	0.012693	0.0336633	0.0332989	0.0390343	0.0399943	0.0222283	0.0298235	3.142326
427	1	-15811.5	-15823.6	12.0962	0.136854	0.0769402	0.094508	0.144966	0.114267	0.0708657	0.116088	0.084543	0.0912586	0.181405	0.08072	0.0918451	0.0945599	0.0969158	0.110494	0.138765	0.127824	0.114414	0.12966	0.0982722	0.0874117	0.078382	0.163154	0.0316616	0.0455093	0.0767954	0.0276299	0.00708379	0.0211168	0.0191653	0.0263696	0.0885776	0.0448816	0.0352273	0.030983	0.0490008	0.0167993	0.0533774	0.0499368	0.0149609	0.0433834	0.0360851	0.0366293	3.279287
428	0	-15805.2	-15818.5	13.2551	0.108599	0.107185	0.102464	0.0959889	0.101141	0.0883324	0.124626	0.0918717	0.0927186	0.169083	0.0931576	0.0962861	0.0836124	0.101258	0.114384	0.118056	0.133427	0.110528	0.105241	0.0638228	0.0822536	0.0687487	0.157837	0.030147	0.024268	0.032276	0.061448	0.0266801	0.0251089	0.0234938	0.0341319	0.0519397	0.0346083	0.0608242	0.0326625	0.084403	0.020789	0.0431158	0.0290369	0.0417817	0.0468882	0.0247166	0.0244562	3.163398
429	1	-15805.3	-15818	12.6876	0.138583	0.0963743	0.0877995	0.13235	0.119507	0.0936434	0.132588	0.0787233	0.101257	0.184392	0.0832751	0.0719318	0.092148	0.0989967	0.104047	0.11157	0.146611	0.133431	0.122529	0.0928955	0.0880084	0.090881	0.150516	0.0328515	0.0377706	0.0488108	0.0194027	0.0113162	0.015532	0.040835	0.0326866	0.0750327	0.0422516	0.0336753	0.0332644	0.0410757	0.0254066	0.0493077	0.0486526	0.0158318	0.0225629	0.0268806	0.0149464	3.22015
430	0	-15805.4	-15818.3	12.8245	0.131764	0.0870934	0.0916215	0.0863104	0.0985423	0.0861076	0.119115	0.0678039	0.114227	0.199186	0.0670356	0.0833514	0.106517	0.0958003	0.113015	0.113892	0.120977	0.0966269	0.109494	0.0953096	0.0826831	0.0837292	0.152342	0.0299563	0.024268	0.032276	0.061448	0.0473144	0.0366641	0.0303062	0.0726449	0.0450781	0.0299525	0.0485903	0.0356916	0.0890481	0.0151342	0.0385445	0.0296965	0.0370753	0.0419364	0.0198857	0.038407	3.206463
431	1	-15808.9	-15822.3	13.4025	0.134619	0.108016	0.0973196	0.104843	0.0835046	0.0721996	0.111292	0.0757381	0.103378	0.138785	0.0728432	0.0638856	0.126526	0.0989967	0.100323	0.121697	0.133313	0.119961	0.105841	0.085067	0.124555	0.0968448	0.174277	0.0270415	0.0262592	0.0476915	0.0278005	0.0263286	0.034743	0.0312689	0.0292096	0.0790995	0.0291217	0.0289847	0.0252246	0.0460024	0.0232015	0.0448385	0.0593131	0.0163114	0.0549527	0.0185318	0.0189044	3.148654
432	0	-15804.4	-15817.5	13.0437	0.137328	0.111641	0.106505	0.0869274	0.115937	0.0947856	0.126766	0.0667068	0.0961396	0.148919	0.0843062	0.0790224	0.109411	0.0954001	0.117777	0.103148	0.113641	0.109685	0.123939	0.0792209	0.101099	0.0987782	0.162692	0.0257065	0.0242123	0.0298252	0.0407704	0.0296023	0.0403704	0.0143507	0.0407751	0.0477683	0.0306782	0.0430472	0.0218987	0.0917079	0.0217646	0.0587512	0.0229852	0.0377248	0.048369	0.01919	0.0252605	3.184535
433	1	-15813.1	-15825.7	12.5229	0.152642	0.0925165	0.0845006	0.106869	0.121146	0.0681824	0.149575	0.0856395	0.0930979	0.152445	0.0596259	0.0878161	0.104427	0.110302	0.0936893	0.133124	0.157231	0.119961	0.114737	0.0666159	0.11308	0.0768593	0.151203	0.0448888	0.0369215	0.0493513	0.0256816	0.00678557	0.0209647	0.0431466	0.022753	0.0844242	0.0349056	0.042393	0.0287419	0.0414018	0.020285	0.0689185	0.0527297	0.0113685	0.0383375	0.0343895	0.03294	3.236615
434	0	-15813.9	-15826.7	12.8068	0.116018	0.0892195	0.104221	0.0879	0.130406	0.0572314	0.124434	0.0773325	0.101829	0.154365	0.0738257	0.079317	0.13176	0.105534	0.124783	0.106877	0.142576	0.125118	0.12599	0.0807098	0.0819348	0.074951	0.177522	0.0309533	0.0182859	0.0531353	0.0574453	0.0403705	0.0175755	0.0177772	0.0472684	0.0291451	0.0340191	0.065601	0.0332046	0.0692123	0.028847	0.0293228	0.0258187	0.0319524	0.0373864	0.0208983	0.0461527	3.208227
435	1	-15809	-15821.7	12.7745	0.122358	0.0890368	0.0881571	0.110935	0.0876747	0.101372	0.1405	0.0787878	0.0891336	0.169044	0.103443	0.0680293	0.103357	0.0869662	0.103514	0.135846	0.157317	0.123038	0.112832	0.0669714	0.0660941	0.0911162	0.157116	0.0328	0.0283464	0.0636217	0.0266808	0.012172	0.0314116	0.0292103	0.0440619	0.0658272	0.0539599	0.0435795	0.0408631	0.0423133	0.0370453	0.0430448	0.0540307	0.0209224	0.0390425	0.033268	0.0166189	3.211458
436	0	-15811	-15825.4	14.3642	0.144419	0.0814886	0.100014	0.084847	0.126922	0.0799971	0.122846	0.0684088	0.0854774	0.151545	0.0609017	0.079476	0.0894691	0.1013	0.0896213	0.109718	0.124966	0.0964171	0.122014	0.0831392	0.0966321	0.0741226	0.168553	0.0150694	0.0238834	0.0414147	0.0322369	0.0343763	0.0212964	0.0129865	0.0507975	0.0599408	0.0145883	0.0482376	0.0402967	0.0860058	0.0184489	0.0419728	0.0269086	0.0361862	0.0540537	0.0281991	0.0232969	3.052491
437	1	-15803.6	-15815.7	12.1335	0.115703	0.11632	0.10284	0.103394	0.127273	0.0977482	0.150875	0.0824611	0.0870132	0.174801	0.0703956	0.0883646	0.0766243	0.0839033	0.0999072	0.136085	0.139066	0.117496	0.12914	0.0837587	0.0863675	0.0878951	0.169409	0.0391525	0.0341617	0.0483583	0.0400216	0.00704032	0.0239522	0.0296483	0.028464	0.0683818	0.0546077	0.0290518	0.0185413	0.0498266	0.0241516	0.0577115	0.0586044	0.0233758	0.043477	0.0338871	0.0363016	3.27556
438	0	-15813.7	-15826	12.3446	0.143742	0.0948161	0.0937238	0.0958016	0.104176	0.0848809	0.146168	0.0914486	0.0855195	0.184204	0.0740584	0.0691913	0.0986831	0.0867587	0.110494	0.105207	0.153847	0.0983948	0.10982	0.0839917	0.0973194	0.0945969	0.181631	0.0383859	0.0181816	0.0285957	0.0494734	0.0538988	0.0131759	0.00698158	0.080384	0.0395388	0.0296057	0.06047	0.0392584	0.0590784	0.0258124	0.0400018	0.0488601	0.0314669	0.0496326	0.0199756	0.0332006	3.254452
439	1	-15799.7	-15812.4	12.6776	0.151339	0.0951788	0.0978536	0.1116	0.100143	0.0927829	0.125964	0.0839981	0.075426	0.172909	0.0783501	0.0888929	0.114385	0.092823	0.122692	0.132558	0.132571	0.104945	0.110504	0.0774698	0.0840542	0.0853428	0.179775	0.0338046	0.0252839	0.0394569	0.0229667	0.0109889	0.0308666	0.0223631	0.0432085	0.0865072	0.0290678	0.0377159	0.0280196	0.0365857	0.022735	0.0567251	0.0601972	0.0285075	0.0385732	0.0263556	0.0296603	3.221147
440	0	-15798.5	-15812.1	13.5356	0.121848	0.0924685	0.100436	0.0930883	0.134201	0.0784162	0.125888	0.0797304	0.0952617	0.15353	0.0716845	0.0778136	0.0936386	0.0863977	0.103699	0.106107	0.153847	0.120955	0.116781	0.0817391	0.0741456	0.0999169	0.155869	0.0294056	0.0252854	0.0365858	0.0499386	0.0369221	0.0158482	0.025767	0.0588482	0.0438247	0.0275232	0.0527696	0.0247627	0.0722391	0.0262969	0.0185716	0.0309648	0.0376184	0.0421339	0.0289188	0.0336627	3.135351
441	1	-15800.3	-15812.8	12.4543	0.123107	0.107438	0.0824976	0.113189	0.104047	0.0761123	0.110353	0.062062	0.107661	0.159902	0.0783501	0.0909293	0.0891743	0.0928547	0.113451	0.128854	0.145207	0.122746	0.13097	0.0855148	0.0921021	0.0939775	0.166379	0.0338046	0.0374977	0.0655961	0.0284745	0.0210003	0.0418701	0.0254653	0.0358528	0.0729065	0.0391269	0.0427994	0.0368415	0.0400569	0.017355	0.0536124	0.0634079	0.0157948	0.041072	0.0319392	0.0221297	3.243482
442	0	-15823.6	-15836.1	12.5584	0.140829	0.0958618	0.0669312	0.112523	0.104558	0.0826931	0.107831	0.0935153	0.0784377	0.150824	0.0797342	0.0898709	0.0961624	0.0871661	0.106593	0.115466	0.0989701	0.10177	0.129339	0.0825768	0.1062	0.0836313	0.172594	0.0310072	0.0299823	0.0337761	0.0817632	0.0196382	0.0377942	0.0212851	0.0445767	0.0597174	0.0196961	0.0663623	0.0453055	0.121931	0.0248504	0.0413089	0.0203424	0.0417565	0.0458478	0.0335548	0.0284942	3.233067
443	1	-15803.2	-15816.3	13.09	0.126531	0.09946	0.0894113	0.102347	0.101499	0.091803	0.116054	0.0706282	0.122248	0.157937	0.0835165	0.0804832	0.100968	0.0827383	0.110407	0.113983	0.127441	0.11065	0.136159	0.0741556	0.0836072	0.0943433	0.155856	0.0355735	0.0531112	0.0605641	0.0301724	0.00888444	0.0158046	0.0298003	0.0345128	0.0880932	0.0514056	0.0442563	0.0301403	0.0471049	0.0215084	0.0381007	0.0438093	0.00825997	0.0605343	0.0219937	0.0240513	3.179909
444	0	-15809.2	-15821.7	12.4987	0.111608	0.119708	0.109572	0.0915303	0.111746	0.073635	0.125703	0.092596	0.0938329	0.189425	0.0955747	0.07879	0.101037	0.0902258	0.110589	0.126101	0.110216	0.117358	0.12162	0.068247	0.0666613	0.0887483	0.18992	0.0269784	0.0296604	0.0377446	0.031415	0.0385543	0.0298855	0.0322813	0.0605871	0.0585278	0.0343533	0.0794799	0.0326756	0.0640481	0.0158139	0.0263836	0.0245934	0.0344417	0.0458478	0.0238356	0.0274844	3.239037
445	1	-15806	-15818.7	12.6203	0.139167	0.113772	0.0894113	0.0919793	0.0960618	0.0879918	0.118493	0.0771964	0.128389	0.183376	0.0743705	0.0813173	0.0992517	0.094346	0.119405	0.130931	0.118609	0.11065	0.118519	0.0677695	0.103384	0.0827304	0.174206	0.042636	0.0610178	0.0378836	0.0346615	0.0185998	0.0251459	0.0405713	0.0442513	0.0808503	0.0404346	0.0343846	0.0204657	0.0409121	0.0215084	0.0376976	0.0434998	0.0202236	0.0488544	0.0114234	0.020533	3.22688
446	0	-15812.3	-15824.9	12.6098	0.132109	0.0893105	0.118058	0.0886681	0.122835	0.0751131	0.125703	0.0624187	0.0866626	0.184645	0.0757744	0.067526	0.0905674	0.107477	0.136336	0.0877698	0.129062	0.0942957	0.12162	0.080329	0.101973	0.100781	0.179156	0.0321856	0.0193183	0.0295767	0.0665507	0.0387423	0.0251711	0.0236791	0.0646276	0.0482628	0.0295829	0.0511257	0.0237743	0.0914283	0.0207254	0.0478111	0.0275585	0.0354195	0.0392474	0.0345979	0.020351	3.227928
447	1	-15802.2	-15815.8	13.6327	0.124057	0.0868776	0.0946425	0.0985876	0.116324	0.0752076	0.118605	0.0713333	0.0830844	0.171028	0.0835315	0.0638836	0.10298	0.109593	0.119868	0.10932	0.131724	0.112429	0.118673	0.06835	0.0824508	0.0850414	0.14713	0.0243903	0.029147	0.0415502	0.0284099	0.0201671	0.0383574	0.034297	0.0262458	0.0711585	0.0369956	0.0404687	0.0431498	0.0562938	0.0201775	0.0546516	0.0502358	0.022221	0.0544282	0.0407049	0.0178721	3.125642
448	0	-15805.5	-15818.3	12.8162	0.135701	0.101112	0.0904288	0.0900833	0.111603	0.0921168	0.116606	0.0918575	0.0923508	0.198362	0.0639722	0.081772	0.0939238	0.0995552	0.0893635	0.110744	0.111769	0.105654	0.131475	0.0676072	0.0731553	0.0936041	0.166041	0.0320266	0.0229596	0.0211069	0.0515828	0.0437092	0.0276101	0.0212914	0.0443522	0.0572916	0.0294045	0.0643433	0.0511389	0.101195	0.0134727	0.0407093	0.0372858	0.0311915	0.0459471	0.0205487	0.04126	3.207285
449	1	-15803.8	-15816.3	12.4313	0.134712	0.120263	0.0945744	0.094053	0.120359	0.0861221	0.112676	0.0845708	0.0894853	0.172479	0.090312	0.0838296	0.0951056	0.0963576	0.129766	0.1435	0.142399	0.0919999	0.109676	0.0713004	0.0894004	0.109825	0.157383	0.0435379	0.0290829	0.042702	0.0292337	0.017653	0.0279968	0.0385956	0.0386791	0.0639056	0.0367979	0.0472398	0.0279838	0.0509183	0.0281911	0.0506141	0.0408161	0.016586	0.0467213	0.0351907	0.0131811	3.245775
450	0	-15810.6	-15822.6	11.9907	0.142447	0.0939319	0.124055	0.0955526	0.116596	0.0724089	0.129959	0.0919566	0.0895498	0.189221	0.104916	0.0833375	0.0977126	0.0728135	0.129825	0.128722	0.155001	0.113031	0.115107	0.0717964	0.0787424	0.0721164	0.172668	0.0405702	0.0325574	0.0360687	0.0466081	0.0416939	0.0230933	0.0154463	0.0576659	0.0509059	0.0218127	0.073678	0.025919	0.0864752	0.0156961	0.0366024	0.0190405	0.0382585	0.0323205	0.023358	0.0306009	3.289839
451	1	-15800.3	-15813.1	12.8371	0.127058	0.086549	0.110387	0.100362	0.129169	0.0595225	0.125917	0.0675459	0.100237	0.183007	0.0849692	0.0757041	0.0900997	0.112637	0.109364	0.122539	0.108053	0.127223	0.109708	0.0871396	0.091237	0.0830668	0.160564	0.0369792	0.0352443	0.0445196	0.0247739	0.0187662	0.0281971	0.0359875	0.0445098	0.0748707	0.0457489	0.0452402	0.03857	0.0363272	0.0271913	0.0525251	0.0453868	0.0317016	0.0449655	0.017325	0.0243091	3.2052
452	0	-15804	-15817.2	13.1866	0.149316	0.0817422	0.0985134	0.0821466	0.094878	0.0900864	0.120122	0.0794668	0.0944336	0.163584	0.0765305	0.0815864	0.120163	0.114154	0.104201	0.111052	0.11593	0.123469	0.107191	0.0819785	0.0949462	0.0950228	0.167825	0.0319432	0.0182611	0.0223852	0.0485497	0.0303785	0.0281429	0.0220114	0.0412004	0.0603571	0.0280209	0.0556646	0.0229341	0.0747731	0.0127529	0.0378195	0.0370137	0.0466734	0.0330705	0.0225676	0.0473912	3.170251
453	1	-15801.2	-15813.4	12.253	0.112441	0.116405	0.0975266	0.0921192	0.10397	0.0897234	0.132705	0.0784757	0.105186	0.15628	0.081501	0.081678	0.1123	0.103297	0.104347	0.131829	0.130985	0.132454	0.140124	0.0696561	0.0815527	0.090746	0.155183	0.044255	0.0332166	0.0379515	0.0458928	0.0150746	0.0274186	0.0413678	0.0302794	0.0631745	0.0546172	0.0375302	0.0346086	0.0401489	0.0335946	0.0525251	0.0520777	0.0224401	0.0589824	0.022147	0.0158152	3.263603
454	0	-15819.2	-15831.7	12.4839	0.120365	0.0924974	0.118347	0.0888606	0.120608	0.0797492	0.0919425	0.0842272	0.089217	0.164125	0.052862	0.108397	0.120616	0.101214	0.108365	0.112396	0.115272	0.110788	0.133267	0.063368	0.110724	0.0932365	0.152375	0.0349952	0.0228755	0.0369414	0.0642544	0.0403229	0.0195608	0.0372044	0.0585293	0.0552082	0.0459208	0.0542444	0.0366963	0.0734278	0.0156482	0.0249405	0.0337281	0.0286929	0.0539502	0.0284533	0.0421022	3.240515
455	1	-15798.2	-15809.8	11.5345	0.139759	0.106116	0.0869286	0.108486	0.126264	0.0913056	0.121785	0.0825458	0.10979	0.193689	0.0794227	0.0879916	0.103546	0.0821154	0.105246	0.116219	0.129309	0.120663	0.129666	0.077857	0.0898276	0.0926139	0.186066	0.0522982	0.0332166	0.0429804	0.0372606	0.0263539	0.0265731	0.0375001	0.0342244	0.0701981	0.0453226	0.0370369	0.0248922	0.0516263	0.033778	0.0662455	0.0474964	0.0233136	0.0429853	0.0216746	0.013267	3.335454
456	0	-15807.8	-15820.9	13.0563	0.107372	0.110597	0.0906753	0.0738619	0.108003	0.0776674	0.139883	0.0774661	0.116104	0.158632	0.0836396	0.0822267	0.100369	0.0969381	0.129142	0.100189	0.126609	0.0909894	0.127893	0.102015	0.0916121	0.079787	0.17048	0.031301	0.02692	0.0333906	0.0581568	0.0368449	0.0196721	0.0318938	0.0700159	0.0339936	0.0322066	0.0509018	0.0421801	0.074265	0.0230441	0.0289165	0.0305496	0.0309684	0.0403187	0.022647	0.0229366	3.183275
457	1	-15806.4	-15819.5	13.0948	0.108526	0.0882552	0.104684	0.122609	0.0936084	0.0839929	0.124188	0.0774425	0.110879	0.164202	0.0808297	0.0975785	0.090213	0.0996802	0.10885	0.12177	0.138601	0.106586	0.0938234	0.0895196	0.089375	0.0767267	0.143563	0.0506917	0.0329613	0.048725	0.0325396	0.0182896	0.0337788	0.0203678	0.0262058	0.103301	0.0449599	0.0261418	0.0280093	0.0521428	0.0233069	0.0487671	0.0608443	0.0249849	0.0401251	0.0165925	0.0311835	3.179423
458	0	-15805.9	-15818.5	12.598	0.122674	0.105669	0.104607	0.121631	0.113753	0.0852227	0.114103	0.0712323	0.0825564	0.15683	0.079243	0.0948682	0.0915483	0.0953471	0.129142	0.0998003	0.131872	0.110482	0.129943	0.0768224	0.0813777	0.078836	0.198495	0.0218588	0.0295648	0.0306814	0.0546798	0.0355953	0.0141241	0.0217111	0.0443526	0.0484063	0.0228954	0.0561935	0.0308919	0.0974721	0.0449985	0.0372068	0.0326945	0.0402932	0.0365221	0.0249852	0.0279219	3.229105
459	1	-15807.6	-15819.7	12.0765	0.132058	0.099144	0.109976	0.104607	0.129475	0.0943614	0.120542	0.0602189	0.0812152	0.178834	0.0782112	0.0975785	0.0999074	0.087153	0.116247	0.136943	0.142853	0.105841	0.127184	0.0621081	0.101002	0.105452	0.174167	0.0362976	0.0317791	0.0657239	0.0188397	0.0293963	0.0337788	0.0269812	0.0349825	0.0710972	0.0531644	0.032233	0.0237226	0.0403771	0.0221696	0.0504924	0.0524898	0.0287773	0.0332832	0.0206985	0.0298965	3.281258
460	0	-15810.9	-15822.8	11.9082	0.137225	0.112688	0.0892052	0.0943579	0.109784	0.0967757	0.129719	0.0861978	0.101887	0.185592	0.0815405	0.0892205	0.109016	0.0813948	0.112884	0.117143	0.128687	0.108183	0.131482	0.0723146	0.0927243	0.0832319	0.181642	0.0384481	0.0134929	0.0334984	0.068369	0.0511875	0.0341675	0.0376672	0.0401692	0.0618636	0.034066	0.0530111	0.0086315	0.0822853	0.0150721	0.023953	0.0284896	0.0416908	0.0365221	0.0266858	0.0359212	3.298087
461	1	-15797	-15810	13.0589	0.142892	0.0923478	0.100345	0.102528	0.120167	0.0676281	0.114669	0.0808587	0.108184	0.166588	0.0615249	0.100422	0.09162	0.0933489	0.116247	0.124589	0.139749	0.107118	0.134815	0.0822494	0.0950857	0.0858327	0.158347	0.0371146	0.0250284	0.0318069	0.0266024	0.0179535	0.0332066	0.0321741	0.0329296	0.0720653	0.0364377	0.0419951	0.0267153	0.043802	0.0209502	0.0497801	0.0521137	0.024591	0.0445885	0.0351426	0.0108624	3.183017
462	0	-15807.8	-15821.1	13.2652	0.127554	0.10858	0.110303	0.0935963	0.120896	0.0912719	0.11527	0.0719825	0.0916787	0.133854	0.0810354	0.0771721	0.0967703	0.0924818	0.112699	0.107743	0.117691	0.142304	0.127228	0.0733145	0.0727496	0.079291	0.17258	0.0324865	0.0356724	0.0242563	0.0528452	0.0272019	0.0221539	0.0325313	0.0472036	0.0499699	0.027107	0.0545749	0.0212573	0.0793902	0.0149906	0.0496445	0.0288781	0.0489066	0.0404044	0.0331176	0.0217531	3.162392
463	1	-15802.2	-15814.3	12.1364	0.120992	0.102443	0.093289	0.0949704	0.113253	0.0846595	0.114723	0.0945464	0.0999762	0.189491	0.0707208	0.0847705	0.116157	0.10645	0.111551	0.133485	0.139749	0.0956781	0.1407	0.0899057	0.110419	0.0916462	0.176658	0.0488529	0.0297674	0.040181	0.0349929	0.0141901	0.0228528	0.0301863	0.029674	0.062228	0.0372623	0.0419802	0.0286278	0.0625583	0.023136	0.0607689	0.0440657	0.0141787	0.03868	0.0199472	0.0149031	3.275267
464	0	-15806.5	-15819.5	13.0916	0.138757	0.091167	0.0919341	0.0972893	0.0906136	0.0829926	0.108091	0.0888933	0.0934114	0.165618	0.0735405	0.0825306	0.0900109	0.0740184	0.120198	0.131664	0.138363	0.0972813	0.111239	0.0770323	0.0938212	0.103152	0.160623	0.0225932	0.0277167	0.027194	0.04433	0.0514468	0.0334381	0.0143607	0.0455938	0.0569548	0.0245892	0.0592035	0.0338365	0.0983947	0.0148804	0.03929	0.0223722	0.0400764	0.0416515	0.0495243	0.0300615	3.179748
465	1	-15811.8	-15824.1	12.3053	0.113487	0.0951474	0.0983422	0.0984013	0.11242	0.0962776	0.102989	0.0648236	0.112931	0.184911	0.0736474	0.0708407	0.117474	0.0955179	0.105073	0.124134	0.132528	0.123875	0.137061	0.069568	0.0630451	0.107765	0.181224	0.034765	0.0454883	0.0353112	0.0434576	0.020168	0.0291137	0.0250815	0.0284727	0.0878653	0.0388279	0.0532033	0.025006	0.0565535	0.0323157	0.054364	0.0644424	0.0124886	0.052279	0.0229092	0.0147852	3.258381
466	0	-15809.4	-15821.9	12.481	0.108957	0.10573	0.118895	0.0929092	0.102243	0.0813524	0.119434	0.0841627	0.118184	0.169726	0.0715216	0.0814462	0.125762	0.098566	0.103143	0.126791	0.127774	0.116508	0.132577	0.0781146	0.0686428	0.0835596	0.183403	0.0378265	0.0222563	0.0241684	0.0468053	0.0347526	0.0243054	0.0177005	0.0447347	0.0435319	0.0345542	0.063716	0.0326527	0.0794486	0.0115785	0.0425632	0.0314401	0.0433465	0.0594633	0.0136393	0.0329174	3.240804
