Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-749.289	-640.465	-108.824	41128.23	0.4460198	0.993739	0.998392	1.00159	1.00627	67.94315
10	-738.717	-625.591	-113.126	60421.71	0.4920759	0.994834	0.998674	1.00132	1.00518	76.89895
20	-751.945	-630.469	-121.475	20051.22	0.4009432	0.991038	0.997693	1.00228	1.00899	98.38869
30	-743.726	-625.888	-117.838	54169.48	0.2979588	0.994544	0.9986	1.00139	1.00547	87.37975
40	-738.93	-626.182	-112.748	201805.5	0.6023765	0.997172	0.999276	1.00072	1.00283	73.23385
50	-719.952	-602.784	-117.168	435944.3	0.3114804	0.998075	0.999508	1.00049	1.00193	86.12813
60	-726.826	-598.635	-128.19	159345.5	0.2265793	0.996818	0.999185	1.00081	1.00319	120.7715
70	-719.142	-598.627	-120.515	46893.25	0.3331811	0.994136	0.998495	1.00149	1.00588	97.2202
80	-710.404	-598.414	-111.989	37692.25	0.4764038	0.99346	0.99832	1.00166	1.00655	74.807
90	-704.091	-590.693	-113.398	472476.6	0.3240005	0.998151	0.999527	1.00047	1.00185	75.17021
100	-681.395	-569.922	-111.472	992043.4	0.3735899	0.998724	0.999674	1.00033	1.00128	72.59128
110	-678.935	-570.237	-108.698	714868.7	0.5135907	0.998497	0.999616	1.00038	1.0015	67.79649
120	-664.313	-557.856	-106.457	487739.3	0.4951159	0.998181	0.999535	1.00046	1.00182	63.36579
130	-663.752	-564.596	-99.1564	69355.44	0.6189524	0.995178	0.998763	1.00123	1.00483	50.75505
140	-652.255	-557.87	-94.3848	304244.3	0.8552714	0.997696	0.99941	1.00059	1.00231	43.57445
150	-644.57	-552.758	-91.8121	265989.8	0.7288515	0.997536	0.999369	1.00063	1.00247	40.39528
160	-622.237	-536.668	-85.5688	162952.2	0.8015225	0.996853	0.999194	1.0008	1.00315	32.83853
170	-584.26	-518.95	-65.3107	707914	1.973922	0.99849	0.999614	1.00039	1.00151	18.01993
180	-524.954	-477.31	-47.6441	268455.9	3.403088	0.997548	0.999372	1.00063	1.00245	10.45854
190	-499.016	-458.606	-40.4101	55907.21	3.119821	0.994629	0.998622	1.00137	1.00538	8.188289
200	-466.998	-444.951	-22.047	98966.79	5.333685	0.995962	0.998965	1.00103	1.00404	4.581632
210	-450.116	-431.302	-18.814	934698.2	7.870325	0.998686	0.999664	1.00034	1.00132	4.261005
220	-441.047	-425.269	-15.7773	946768	10.68302	0.998694	0.999666	1.00033	1.00131	3.746099
230	-436.693	-422.519	-14.1745	507318.1	7.030651	0.998216	0.999544	1.00046	1.00179	3.604343
240	-443.141	-425.393	-17.7479	364507.9	6.36656	0.997895	0.999461	1.00054	1.00211	4.048165
250	-426.544	-419.842	-6.70226	808300.3	11.49162	0.998587	0.999639	1.00036	1.00141	2.888246
260	-432.037	-416.427	-15.6102	446173.7	11.89043	0.998098	0.999513	1.00049	1.0019	3.628519
270	-439.165	-425.391	-13.7746	104965.5	7.659242	0.996079	0.998995	1.001	1.00393	3.608868
280	-434.125	-418.416	-15.7091	947359.5	9.446272	0.998694	0.999666	1.00033	1.00131	3.825703
290	-434.373	-418.07	-16.3031	316965.3	9.42339	0.997743	0.999422	1.00058	1.00226	3.890013
300	-434.065	-418.567	-15.4987	622214.7	7.662539	0.998389	0.999588	1.00041	1.00161	3.834087
310	-431.343	-418.021	-13.322	517322.2	7.901074	0.998233	0.999548	1.00045	1.00177	3.564836
320	-439.678	-426.421	-13.2569	941388.9	8.346302	0.99869	0.999665	1.00033	1.00131	3.572952
330	-454.125	-431.564	-22.5606	509461.4	6.525594	0.99822	0.999545	1.00045	1.00178	4.806911
340	-444.751	-426.506	-18.2451	206539.6	6.124162	0.997204	0.999284	1.00071	1.0028	4.088324
350	-431.856	-427.288	-4.56872	944944.3	11.03976	0.998693	0.999666	1.00033	1.00131	2.701478
360	-431.806	-418.597	-13.2084	962987.7	8.245726	0.998705	0.999669	1.00033	1.0013	3.56457
370	-431.895	-418.941	-12.9543	725455.2	12.01155	0.998508	0.999618	1.00038	1.00149	3.396643
380	-434.894	-420.165	-14.7287	545598.3	6.668665	0.99828	0.99956	1.00044	1.00172	3.632382
390	-439.451	-423.684	-15.7669	51813.34	7.574022	0.994421	0.998568	1.00142	1.00559	3.866018
400	-432.028	-420.074	-11.9535	908945.7	8.014863	0.998667	0.999659	1.00034	1.00133	3.39952
410	-443.776	-430.647	-13.1294	352037.9	7.986706	0.997858	0.999452	1.00055	1.00214	3.544902
420	-428.787	-415.499	-13.2883	184351.9	8.9088	0.997041	0.999242	1.00075	1.00296	3.579848
430	-433.709	-417.923	-15.7863	817577	11.68434	0.998595	0.999641	1.00036	1.00141	3.661739
440	-430.032	-415.113	-14.9192	370979.8	11.01002	0.997914	0.999466	1.00053	1.00209	3.641329
