Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
590	-867.492	-641.161	-226.331	985606.8	0.01231449	0.99872	0.999673	1.00033	1.00128	2390.793
600	-858.304	-641.161	-217.143	161425.9	0.02204765	0.996838	0.99919	1.00081	1.00317	1790.293
610	-839.751	-641.161	-198.59	883537.8	0.02791936	0.998648	0.999654	1.00035	1.00135	1028.285
620	-821.666	-641.161	-180.504	91419.69	0.05908721	0.995799	0.998923	1.00107	1.00421	598.3954
630	-821.473	-641.161	-180.312	922472	0.07247728	0.998677	0.999662	1.00034	1.00132	578.1544
640	-811.434	-631.212	-180.222	429004.3	0.06759746	0.99806	0.999504	1.0005	1.00194	584.5417
650	-787.327	-630.575	-156.752	376400.2	0.1094679	0.997929	0.99947	1.00053	1.00207	291.8012
660	-797.834	-627.052	-170.782	72548.93	0.08326859	0.995285	0.998791	1.0012	1.00472	443.7529
670	-751.732	-620.449	-131.283	753408.4	0.2980243	0.998536	0.999626	1.00037	1.00146	132.4974
680	-657.192	-584.593	-72.5997	162220.8	1.742415	0.996846	0.999192	1.0008	1.00316	22.26132
690	-487.343	-453.148	-34.1949	581472.1	4.546965	0.998334	0.999574	1.00043	1.00167	6.92242
700	-464.404	-436.021	-28.3833	810916.6	4.840439	0.998589	0.999639	1.00036	1.00141	5.716355
710	-440.288	-420.591	-19.6969	127208.3	7.913581	0.996438	0.999087	1.00091	1.00357	4.371051
720	-439.076	-427.065	-12.0116	398781.2	9.346907	0.997988	0.999485	1.00051	1.00201	3.435579
730	-432.266	-419.964	-12.3026	67310.13	10.49049	0.995105	0.998744	1.00125	1.0049	3.430088
740	-439.96	-422.376	-17.5835	397317.2	7.973597	0.997984	0.999484	1.00051	1.00202	4.102855
750	-431.781	-418.855	-12.9263	136405.3	9.431796	0.99656	0.999119	1.00088	1.00344	3.531469
760	-433.704	-419.831	-13.8729	243589.4	10.44964	0.997426	0.999341	1.00066	1.00258	3.582228
770	-437.729	-425.572	-12.1575	679364.9	9.433583	0.998458	0.999606	1.00039	1.00154	3.449933
780	-433.535	-420.476	-13.0587	234541.2	14.64481	0.997377	0.999328	1.00067	1.00263	3.203718
790	-428.738	-415.169	-13.5693	1404.056	6.808533	0.966284	0.991133	1.00846	1.03412	3.483963
800	-440.868	-417.594	-23.2741	419545.7	9.725323	0.998038	0.999498	1.0005	1.00196	4.586846
810	-441.77	-427.958	-13.812	93250.68	8.572582	0.995841	0.998934	1.00106	1.00417	3.641093
820	-431.746	-420.581	-11.1642	9662.546	9.330843	0.987099	0.996668	1.00327	1.01296	3.34494
830	-442.946	-428.175	-14.7713	600245.4	7.968291	0.99836	0.99958	1.00042	1.00164	3.750049
840	-441.34	-424.778	-16.5618	385102.8	7.422938	0.997952	0.999476	1.00052	1.00205	3.966282
850	-442.312	-426.318	-15.9946	626949.5	6.532085	0.998395	0.99959	1.00041	1.00161	3.801762
860	-437.996	-420.249	-17.747	958564.4	7.046141	0.998702	0.999668	1.00033	1.0013	4.113299
870	-429.039	-414.589	-14.4502	81835.64	8.863956	0.99556	0.998862	1.00113	1.00445	3.711266
880	-426.401	-414.978	-11.4231	561702.6	8.707516	0.998304	0.999566	1.00043	1.0017	3.366406
890	-429.438	-411.867	-17.5712	513036.7	6.058355	0.998226	0.999546	1.00045	1.00178	3.964819
900	-430.017	-413.235	-16.782	798496.4	9.800929	0.998578	0.999636	1.00036	1.00142	3.913598
910	-427.744	-412.9	-14.8436	373738.4	8.857146	0.997922	0.999468	1.00053	1.00208	3.755825
920	-427.272	-420.328	-6.94365	82614.79	11.66105	0.995581	0.998867	1.00113	1.00443	2.905495
930	-431.546	-420.99	-10.5562	981656.9	11.6717	0.998717	0.999672	1.00033	1.00128	3.214759
940	-433.582	-416.458	-17.1235	241303.2	7.413939	0.997414	0.999338	1.00066	1.00259	4.041704
950	-430.296	-414.209	-16.0863	772360.3	11.03964	0.998554	0.99963	1.00037	1.00145	3.744767
960	-425.012	-414.976	-10.0363	855131.7	12.59008	0.998626	0.999649	1.00035	1.00137	3.122903
970	-435.026	-425.561	-9.46521	627041.1	12.90297	0.998395	0.99959	1.00041	1.00161	3.060846
980	-446.668	-428.571	-18.0967	911781.1	9.467507	0.998669	0.99966	1.00034	1.00133	4.076684
990	-432.517	-418.888	-13.6286	718803.3	9.056489	0.998501	0.999617	1.00038	1.0015	3.615688
1000	-435.553	-420	-15.5526	927558.1	7.944127	0.99868	0.999663	1.00034	1.00132	3.847796
1010	-433.297	-416.385	-16.9124	975582.8	8.722463	0.998713	0.999671	1.00033	1.00129	3.996108
1020	-439.736	-420.323	-19.4138	648511	6.509457	0.998422	0.999596	1.0004	1.00158	4.323346
1030	-453.198	-436.583	-16.6144	845654.2	6.408028	0.998618	0.999647	1.00035	1.00138	3.87722
1040	-437.079	-425.462	-11.617	755900	9.303958	0.998538	0.999626	1.00037	1.00146	3.39361
1050	-438.215	-422.25	-15.9658	870914	10.32125	0.998638	0.999652	1.00035	1.00136	3.792523
1060	-433.142	-418.534	-14.6078	433925.7	8.461093	0.998071	0.999506	1.00049	1.00193	3.734702
1070	-437.404	-422.655	-14.7484	28740.93	10.43863	0.992512	0.998075	1.00191	1.00751	3.666759
1080	-437.36	-416.108	-21.2522	522608.1	5.41905	0.998242	0.99955	1.00045	1.00176	4.456335
1090	-440.121	-424.532	-15.589	193443.1	6.292548	0.997111	0.99926	1.00074	1.00289	3.693706
1100	-430.32	-416.379	-13.9413	673426.9	7.295282	0.998451	0.999604	1.0004	1.00155	3.601514
1110	-440.031	-420.715	-19.3159	354305.5	8.594568	0.997865	0.999454	1.00054	1.00214	4.281499
1120	-438.759	-425.539	-13.22	880797.5	8.993255	0.998646	0.999654	1.00035	1.00135	3.571374
1130	-430.568	-418.162	-12.4061	424695.8	9.555946	0.99805	0.999501	1.0005	1.00195	3.473717
1140	-437.162	-418.707	-18.4557	270684.4	5.903486	0.997558	0.999375	1.00062	1.00244	4.079149
1150	-427.132	-412.729	-14.4029	113190.6	9.045706	0.996224	0.999032	1.00096	1.00378	3.701494
1160	-433.188	-422.839	-10.3491	493667.4	8.621375	0.998191	0.999537	1.00046	1.00181	3.23941
1170	-440.55	-426.233	-14.317	557645.1	8.863794	0.998298	0.999565	1.00043	1.0017	3.696236
1180	-440.225	-421.918	-18.3061	952035.3	6.611818	0.998698	0.999667	1.00033	1.0013	4.163661
1190	-433.181	-415.424	-17.7563	9772.976	6.942292	0.987172	0.996687	1.00325	1.01289	4.108578
1200	-430.092	-417.336	-12.7563	56289.51	8.153395	0.994648	0.998627	1.00136	1.00536	3.506176
1210	-427.14	-410.975	-16.165	722509.9	7.592951	0.998505	0.999618	1.00038	1.0015	3.919161
1220	-431.137	-421.568	-9.56938	713876.9	8.300722	0.998496	0.999615	1.00038	1.0015	3.12766
1230	-441.697	-425.26	-16.4376	233405.2	9.53074	0.99737	0.999327	1.00067	1.00263	3.897282
1240	-433.173	-415.03	-18.1439	286899.8	6.512494	0.997628	0.999393	1.00061	1.00237	4.128613
1250	-434.582	-420.849	-13.7331	684545.2	9.716329	0.998464	0.999607	1.00039	1.00154	3.606179
1260	-442.335	-421.016	-21.3198	452085.4	6.593696	0.99811	0.999517	1.00048	1.00189	4.618979
1270	-449.306	-427.014	-22.292	506042.7	7.695623	0.998214	0.999543	1.00046	1.00179	4.717966
1280	-428.238	-419.258	-8.97958	996498.1	10.11686	0.998727	0.999674	1.00032	1.00127	3.117391
1290	-446.786	-425.766	-21.0203	493463.3	5.479436	0.998191	0.999537	1.00046	1.00181	4.429427
1300	-444.311	-427.008	-17.3037	217366.1	9.515234	0.997275	0.999302	1.0007	1.00273	3.989331
1310	-432.414	-416.61	-15.804	474254.9	7.845265	0.998155	0.999528	1.00047	1.00185	3.878165
1320	-439.465	-421.436	-18.0282	41701.51	7.685674	0.993782	0.998403	1.00158	1.00623	4.164004
1330	-434.98	-417.657	-17.3228	445570.5	7.280298	0.998096	0.999513	1.00049	1.0019	4.064491
1340	-445.136	-425.248	-19.8873	634093.2	7.61491	0.998404	0.999592	1.00041	1.0016	4.408609
1350	-448.391	-427.173	-21.2179	862993.4	5.997356	0.998632	0.99965	1.00035	1.00137	4.559552
1360	-435.383	-419.632	-15.7506	172767.4	10.52653	0.996944	0.999217	1.00078	1.00306	3.755957
